Date,Component,Affiliate Name,Class Name,Result,Is Personal Record,Personal Record Description,Performance Result Type,Comment,From Weightlifting Total
06/14/2018,Farmer's Carry,Fitness Battalion,CrossFit: 12:00,3 x 3 @ 53 lbs,0,,Weight,,0
06/13/2018,Thruster,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 125 lbs,0,,Weight,,0
06/11/2018,Front Squat,Fitness Battalion,CrossFit: 18:30,1 x 3 @ 150 lbs,1,,Weight,,0
06/09/2018,BTN Shoulder Press,Fitness Battalion,CrossFit: 09:00,10 x 3 @ 60 lbs,0,,Weight,,0
06/06/2018,Push Jerk,Fitness Battalion,CrossFit: 17:30,10 x 4 @ 100 lbs,0,,Weight,,0
06/05/2018,Shoulder Press,Fitness Battalion,CrossFit: 17:30,1 x 5 @ 73 lbs,1,PR by 3 lbs vs. 70 on 10/16/2017,Weight,3@75,0
05/29/2018,Single Leg Romanian Deadlift,Fitness Battalion,CrossFit: 17:30,10 x 4 @ 53 lbs,0,,Weight,,0
05/16/2018,Overhead Squat,Fitness Battalion,CrossFit: 17:30,3 x 10 @ 95 lbs,0,,Weight,,0
05/14/2018,Hang Snatch,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 75 lbs,0,,Weight,,0
05/04/2018,Squat Clean,Fitness Battalion,CrossFit: 17:30,10 x 4 @ 105 lbs,1,PR by 10 lbs vs. 95 on 03/02/2018,Weight,,0
04/26/2018,Clean and Jerk,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 142 lbs,1,PR by 37 lbs vs. 105 on 09/12/2017,Weight,,0
04/23/2018,Pause Deadlifts,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 145 lbs,1,PR by 10 lbs vs. 135 on 03/20/2018,Weight,,0
04/19/2018,Push Jerk,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 135 lbs,1,PR by 25 lbs vs. 110 on 09/25/2017,Weight,,0
04/18/2018,Sumo Deadlift,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 215 lbs,0,,Weight,,0
04/17/2018,Pause Back Squat,Fitness Battalion,CrossFit: 17:30,1 x 4 @ 135 lbs,0,,Weight,,0
04/13/2018,Box Squats,Fitness Battalion,CrossFit: 17:30,10 x 4 @ 115 lbs,0,,Weight,,0
04/10/2018,Squat Jump Overs/Walking Lunges,Fitness Battalion,CrossFit: 17:30,3 x 3 @ 26 lbs,0,,Weight,,0
04/05/2018,Snatch High Pull,Fitness Battalion,CrossFit: 17:30,1 x 5 @ 95 lbs,0,,Weight,,0
03/27/2018,Snatch Pull,Fitness Battalion,CrossFit: 17:30,5 x 5 @ 70 lbs,0,,Weight,,0
03/22/2018,OHS Balance Combo,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 75 lbs,0,,Weight,,0
03/20/2018,Pause Deadlifts,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 135 lbs,0,,Weight,Sumo Deadlifts,0
03/08/2018,Back Squat,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 150 lbs,1,,Weight,,0
03/02/2018,Squat Clean,Fitness Battalion,CrossFit: 12:00,10 x 3 @ 95 lbs,0,,Weight,,0
02/19/2018,Front Squat,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 115 lbs,0,,Weight,,0
02/13/2018,Back Squat,Fitness Battalion,CrossFit: 6:30,10 x 3 @ 145 lbs,0,,Weight,,0
02/10/2018,Push Press,Fitness Battalion,CrossFit: 10:00,5 x 3 @ 100 lbs,1,PR by 5 lbs vs. 95 on 09/25/2017,Weight,,0
02/08/2018,Power Clean,Fitness Battalion,CrossFit: 6:30,1 x 1 @ 130 lbs,1,PR by 45 lbs vs. 85 on 08/18/2017,Weight,,0
02/06/2018,Deadlift,Fitness Battalion,CrossFit: 6:30,1 x 1 @ 210 lbs,1,PR by 5 lbs vs. 205 on 12/31/2017,Weight,,0
02/01/2018,Walking Lunges,Fitness Battalion,CrossFit: 6:30,1 x 11 @ 95 lbs,0,,Weight,,0
01/23/2018,KB/DB Shoulder Press,Fitness Battalion,CrossFit: 6:30,3 x 10 @ 25 lbs,0,,Weight,,0
01/19/2018,Floor Press,Fitness Battalion,CrossFit: 12:00,4 x 4 @ 70 lbs,0,,Weight,,0
01/10/2018,Floor Press,Fitness Battalion,CrossFit: 12:00,5 x 5 @ 65 lbs,1,,Weight,,0
01/08/2018,Floor Press,Fitness Battalion,CrossFit: 6:30,1 x 1 @ 95 lbs,1,PR by 5 lbs vs. 90 on 11/06/2017,Weight,,0
01/08/2018,1 RPM Floor Press,Fitness Battalion,CrossFit: 6:30,1 x 1 @ 95 lbs,0,,Weight,,0
12/31/2017,Deadlift,Fitness Battalion,Open Gym: 10:00,1 x 1 @ 205 lbs,1,PR by 10 lbs vs. 195 on 11/26/2017,Weight,,0
12/20/2017,Shoulder Press,Fitness Battalion,CrossFit: 12:00,10 x 3 @ 60 lbs,0,,Weight,,0
12/13/2017,Back Squat,Fitness Battalion,CrossFit: 12:00,1 x 1 @ 190 lbs,1,PR by 10 lbs vs. 180 on 10/11/2017,Weight,,0
12/08/2017,Hang Clean,Fitness Battalion,CrossFit: 12:00,5 x 5 @ 100 lbs,1,PR by 15 lbs vs. 85 on 08/28/2017,Weight,,0
11/29/2017,BTN Push Press,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 80 lbs,0,,Weight,,0
11/26/2017,Deadlift,Fitness Battalion,Open Gym: 10:00,1 x 1 @ 195 lbs,1,PR by 25 lbs vs. 170 on 09/03/2017,Weight,,0
11/24/2017,Snatch Pull Complex,Fitness Battalion,CrossFit: 18:30,10 x 1 @ 65 lbs,0,,Weight,,0
11/22/2017,Snatch,Fitness Battalion,CrossFit: 18:30,1 x 1 @ 90 lbs,1,PR by 10 lbs vs. 80 on 09/22/2017,Weight,,0
11/08/2017,Floor Press,Fitness Battalion,CrossFit: 18:30,10 x 5 @ 60 lbs,1,,Weight,,0
11/06/2017,Floor Press,Fitness Battalion,CrossFit: 12:00,1 x 1 @ 90 lbs,1,PR by 10 lbs vs. 80 on 09/04/2017,Weight,,0
11/03/2017,Clean to Lunge,Fitness Battalion,CrossFit: 6:30,10 x 1 @ 95 lbs,0,,Weight,,0
